animal_type,intake_year,breed,Count of breed
Cat,2013,Domestic Shorthair Mix,960
Cat,2013,Domestic Medium Hair Mix,141
Cat,2013,Domestic Longhair Mix,73
Cat,2013,Siamese Mix,49
Cat,2013,Domestic Shorthair,20
Cat,2013,Siamese/Domestic Shorthair,11
Cat,2013,Snowshoe Mix,8
Cat,2013,Maine Coon Mix,7
Cat,2013,Manx Mix,6
Cat,2013,Russian Blue Mix,5
Cat,2013,Domestic Medium Hair,4
Cat,2013,Domestic Longhair,3
Cat,2013,Himalayan Mix,3
Cat,2013,Bengal Mix,2
Cat,2013,Ragdoll Mix,2
Cat,2013,Abyssinian Mix,2
Cat,2013,Persian Mix,2
Cat,2013,Bombay Mix,1
Cat,2013,British Shorthair Mix,1
Cat,2013,Balinese Mix,1
Cat,2013,American Shorthair Mix,1
Cat,2013,Siamese,1
Cat,2013,Manx/Domestic Shorthair,1
Cat,2013,Burmese,1
Cat,2013,Bengal,1
Cat,2013,Tonkinese Mix,1
Cat,2013,Exotic Shorthair Mix,1
Cat,2013,Domestic Longhair/Persian,1
Cat,2014,Domestic Shorthair Mix,5443
Cat,2014,Domestic Medium Hair Mix,513
Cat,2014,Domestic Longhair Mix,334
Cat,2014,Siamese Mix,230
Cat,2014,Domestic Shorthair,80
Cat,2014,Snowshoe Mix,60
Cat,2014,Manx Mix,41
Cat,2014,Maine Coon Mix,36
Cat,2014,Russian Blue Mix,29
Cat,2014,Domestic Medium Hair,27
Cat,2014,Siamese,18
Cat,2014,Domestic Longhair,16
Cat,2014,Angora Mix,11
Cat,2014,Himalayan Mix,11
Cat,2014,Ragdoll Mix,10
Cat,2014,Japanese Bobtail Mix,7
Cat,2014,Snowshoe,5
Cat,2014,Tonkinese Mix,5
Cat,2014,Persian Mix,4
Cat,2014,Cymric Mix,4
Cat,2014,American Shorthair Mix,4
Cat,2014,Maine Coon,3
Cat,2014,Balinese Mix,3
Cat,2014,Ragdoll,2
Cat,2014,Himalayan,2
Cat,2014,Bengal Mix,2
Cat,2014,Russian Blue,2
Cat,2014,Pixiebob Shorthair Mix,2
Cat,2014,Devon Rex,2
Cat,2014,Bombay Mix,2
Cat,2014,Domestic Shorthair/Siamese,2
Cat,2014,Persian,2
Cat,2014,British Shorthair Mix,2
Cat,2014,Domestic Longhair/Rex,2
Cat,2014,Norwegian Forest Cat Mix,2
Cat,2014,Manx/Domestic Shorthair,2
Cat,2014,Siamese/Angora,1
Cat,2014,Snowshoe/Domestic Shorthair,1
Cat,2014,Domestic Medium Hair/Siamese,1
Cat,2014,Manx/Domestic Longhair,1
Cat,2014,Sphynx,1
Cat,2014,British Shorthair,1
Cat,2014,Siamese/Domestic Shorthair,1
Cat,2014,Domestic Longhair/Russian Blue,1
Cat,2014,Chartreux Mix,1
Cat,2014,Domestic Shorthair/British Shorthair,1
Cat,2014,Snowshoe/Ragdoll,1
Cat,2014,Devon Rex Mix,1
Cat,2014,Exotic Shorthair Mix,1
Cat,2014,Angora/Persian,1
Cat,2014,Munchkin Shorthair Mix,1
Cat,2015,Domestic Shorthair Mix,6017
Cat,2015,Domestic Medium Hair Mix,546
Cat,2015,Domestic Longhair Mix,332
Cat,2015,Siamese Mix,282
Cat,2015,Domestic Shorthair,96
Cat,2015,Domestic Medium Hair,37
Cat,2015,Snowshoe Mix,34
Cat,2015,Maine Coon Mix,22
Cat,2015,Siamese,20
Cat,2015,Russian Blue Mix,11
Cat,2015,Manx Mix,11
Cat,2015,Himalayan Mix,8
Cat,2015,Domestic Longhair,7
Cat,2015,American Shorthair Mix,7
Cat,2015,Persian Mix,6
Cat,2015,Ragdoll Mix,6
Cat,2015,Balinese Mix,5
Cat,2015,Siamese/Japanese Bobtail,3
Cat,2015,British Shorthair Mix,2
Cat,2015,Bombay Mix,2
Cat,2015,Devon Rex Mix,2
